CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12,100.0,36.610169491525426,32.316384180790955,38.4180790960452,36.271186440677965,39.77401129943503,36.271186440677965,34.91525423728813,35.367231638418076,39.548022598870055,37.40112994350282,50.282485875706215,26.55367231638418
2011-01,100.0,22.062350119904075,26.618705035971225,23.021582733812952,32.13429256594724,28.776978417266186,24.700239808153476,24.22062350119904,29.97601918465228,32.61390887290168,36.45083932853717,11.750599520383693,
2011-02,100.0,18.684210526315788,18.684210526315788,28.421052631578945,27.105263157894736,24.736842105263158,25.263157894736842,27.89473684210526,24.736842105263158,30.526315789473685,6.842105263157896,,
2011-03,100.0,15.04424778761062,25.221238938053098,19.911504424778762,22.345132743362832,16.8141592920354,26.769911504424783,23.008849557522122,27.876106194690266,8.628318584070795,,,
2011-04,100.0,21.333333333333336,20.333333333333332,21.0,19.666666666666664,22.666666666666664,21.666666666666668,26.0,7.333333333333333,,,,
2011-05,100.0,19.014084507042252,17.253521126760564,17.253521126760564,20.774647887323944,23.239436619718308,26.408450704225352,9.507042253521126,,,,,
2011-06,100.0,17.355371900826448,15.702479338842975,26.446280991735538,23.140495867768596,33.47107438016529,9.50413223140496,,,,,,
2011-07,100.0,18.085106382978726,20.74468085106383,22.340425531914892,27.127659574468083,11.170212765957446,,,,,,,
2011-08,100.0,20.710059171597635,24.85207100591716,24.2603550295858,12.42603550295858,,,,,,,,
2011-09,100.0,23.411371237458194,30.100334448160538,11.37123745819398,,,,,,,,,
2011-10,100.0,24.022346368715084,11.452513966480447,,,,,,,,,,
2011-11,100.0,11.145510835913312,,,,,,,,,,,
2011-12,100.0,,,,,,,,,,,,
